,count,unique,top,freq,mean,std,min,25%,50%,75%,max
Date,820503,49,24/02/2020,147621,,,,,,,
Timestamp,820537,218989,1578542119,5631,,,,,,,
Scr_IP,820834,36,192.168.2.199,156023,,,,,,,
Scr_port,820834,57460,5353,2889,,,,,,,
Des_IP,820834,96,192.168.2.10,312684,,,,,,,
Des_port,820834,6444,80,237640,,,,,,,
Protocol,820834,4,tcp,422334,,,,,,,
Service,820834,17,http,237738,,,,,,,
Duration,820834,330207,-,75761,,,,,,,
Scr_bytes,820834,21054,-,223871,,,,,,,
Des_bytes,820834,51899,-,223871,,,,,,,
Conn_state,820834.0,,,,0.8516228616261022,0.3554736517999313,0.0,1.0,1.0,1.0,1.0
missed_bytes,820834,231,0,820351,,,,,,,
is_syn_only,820834,2,True,420448,,,,,,,
Is_SYN_ACK,820834,2,False,497805,,,,,,,
is_pure_ack,820834,2,False,497546,,,,,,,
is_with_payload,820834,2,True,711816,,,,,,,
FIN or RST,820834,2,True,415483,,,,,,,
Bad_checksum,820834,1,False,820834,,,,,,,
is_SYN_with_RST,820834,1,False,820834,,,,,,,
Scr_pkts,820834,1211,1,249056,,,,,,,
Scr_ip_bytes,820834,32872,-,152743,,,,,,,
Des_pkts,820834,1556,1,208246,,,,,,,
Des_ip_bytes,820834,55574,0,174182,,,,,,,
anomaly_alert,820834,3,FALSE,740250,,,,,,,
total_bytes,820834,62464,-,223872,,,,,,,
total_packet,820834,2216,2,260010,,,,,,,
paket_rate,820834,303353,-,223871,,,,,,,
byte_rate,820834,339658,-,223871,,,,,,,
Scr_packts_ratio,820834,19995,0.5,248977,,,,,,,
Des_pkts_ratio,820834,19995,0.5,248977,,,,,,,
Scr_bytes_ratio,820834,72716,-,223872,,,,,,,
Des_bytes_ratio,820834,72716,-,223872,,,,,,,
Avg_user_time,820834,12635,6.478,5776,,,,,,,
Std_user_time,820834,51646,6.07937176,5707,,,,,,,
Avg_nice_time,820834,4551,1.472,6071,,,,,,,
Std_nice_time,820834,50541,1.403424383,5707,,,,,,,
Avg_system_time,820834,5174,2.15,6365,,,,,,,
Std_system_time,820834,50456,2.563215949,5707,,,,,,,
Avg_iowait_time,820834,10157,0.077,12923,,,,,,,
Std_iowait_time,820834,30703,0.117647779,13186,,,,,,,
Avg_ideal_time,820834,19705,87.054,5754,,,,,,,
Std_ideal_time,820834,51725,7.736539537,5707,,,,,,,
Avg_tps,820834,3736,3,11726,,,,,,,
Std_tps,820834,21771,0,11484,,,,,,,
Avg_rtps,820834,2254,0,138135,,,,,,,
Std_rtps,820834,16492,0,138134,,,,,,,
Avg_wtps,820834,2017,3,33190,,,,,,,
Std_wtps,820834,11124,0,32601,,,,,,,
Avg_ldavg_1,820834,2814,0.825,6766,,,,,,,
Std_ldavg_1,820834,3450,0.02,37463,,,,,,,
Avg_kbmemused,820834,28144,914762.8,5755,,,,,,,
Std_kbmemused,820834,51523,2614.998616,5707,,,,,,,
Avg_num_Proc/s,820834,1061,0,131979,,,,,,,
Std_num_proc/s,820834,3649,0,147442,,,,,,,
Avg_num_cswch/s,820834,14986,1578.8,5804,,,,,,,
std_num_cswch/s,820834,51588,393.7089788,5707,,,,,,,
OSSEC_alert,820834.0,,,,0.05118574522985159,0.2203765502071285,0.0,0.0,0.0,0.0,1.0
OSSEC_alert_level,820834.0,,,,0.2677167368798076,1.178027487691925,0.0,0.0,0.0,0.0,10.0
Login_attempt,820834.0,,,,0.0873051067572737,0.28228181338169206,0.0,0.0,0.0,0.0,1.0
Succesful_login,820834.0,,,,0.08273049118335742,0.2754745895044163,0.0,0.0,0.0,0.0,1.0
File_activity,820834.0,,,,0.07265049937015279,0.25956210507061533,0.0,0.0,0.0,0.0,1.0
Process_activity,820834.0,,,,0.08261962832923588,0.27530658851925366,0.0,0.0,0.0,0.0,1.0
read_write_physical.process,820834.0,,,,0.355309356093924,0.4786072467360382,0.0,0.0,0.0,1.0,1.0
is_privileged,820834.0,,,,0.0824563797308591,0.2750589343091218,0.0,0.0,0.0,0.0,1.0
class1,820834,19,Normal,421417,,,,,,,
class2,820834,10,Normal,421417,,,,,,,
class3,820834,2,Normal,421417,,,,,,,
