,semantic_group
Date,unknown_numeric
Timestamp,flow_timing
Scr_IP,port_addressing
Scr_port,port_addressing
Des_IP,port_addressing
Des_port,port_addressing
Protocol,protocol_semantics
Service,protocol_semantics
Duration,flow_timing
Scr_bytes,byte_volume
Des_bytes,byte_volume
Conn_state,protocol_semantics
missed_bytes,byte_volume
is_syn_only,unknown_numeric
Is_SYN_ACK,unknown_numeric
is_pure_ack,unknown_numeric
is_with_payload,unknown_numeric
FIN or RST,unknown_numeric
Bad_checksum,unknown_numeric
is_SYN_with_RST,unknown_numeric
Scr_pkts,packet_volume
Scr_ip_bytes,byte_volume
Des_pkts,packet_volume
Des_ip_bytes,byte_volume
anomaly_alert,unknown_numeric
total_bytes,packet_volume
total_packet,packet_volume
paket_rate,rate_dynamics
byte_rate,byte_volume
Scr_packts_ratio,unknown_numeric
Des_pkts_ratio,packet_volume
Scr_bytes_ratio,byte_volume
Des_bytes_ratio,byte_volume
Avg_user_time,flow_timing
Std_user_time,flow_timing
Avg_nice_time,flow_timing
Std_nice_time,flow_timing
Avg_system_time,flow_timing
Std_system_time,flow_timing
Avg_iowait_time,flow_timing
Std_iowait_time,flow_timing
Avg_ideal_time,flow_timing
Std_ideal_time,flow_timing
Avg_tps,statistical_flags
Std_tps,statistical_flags
Avg_rtps,statistical_flags
Std_rtps,statistical_flags
Avg_wtps,statistical_flags
Std_wtps,statistical_flags
Avg_ldavg_1,statistical_flags
Std_ldavg_1,statistical_flags
Avg_kbmemused,statistical_flags
Std_kbmemused,statistical_flags
Avg_num_Proc/s,statistical_flags
Std_num_proc/s,statistical_flags
Avg_num_cswch/s,statistical_flags
std_num_cswch/s,statistical_flags
OSSEC_alert,rate_dynamics
OSSEC_alert_level,rate_dynamics
Login_attempt,unknown_numeric
Succesful_login,unknown_numeric
File_activity,unknown_numeric
Process_activity,unknown_numeric
read_write_physical.process,unknown_numeric
is_privileged,unknown_numeric
class2,unknown_numeric
class3,unknown_numeric
