protocol,train_dataset,test_dataset,train_rows,test_rows,train_seconds,inference_seconds,iterations
within_dataset,X-IIoTID,X-IIoTID,168000,72000,2.769203133000701,0.23246405200006848,180
within_dataset,CIC-IIoT-2025,CIC-IIoT-2025,168000,72000,2.8038369890000467,0.22085946100014553,180
within_dataset,CIC-IDS2017,CIC-IDS2017,168000,72000,2.7663140989998283,0.2424594980002439,171
x_iiotid_to_external,X-IIoTID,CIC-IIoT-2025,168000,240000,3.2063715590002175,0.6000783230001616,180
x_iiotid_to_external,X-IIoTID,CIC-IDS2017,168000,240000,2.7957814310002504,0.5972786080001242,180
mixed_multi_dataset_holdout,X-IIoTID+CIC-IIoT-2025+CIC-IDS2017,stratified_all_datasets,504000,216000,7.623439950999455,0.8539520590002212,180
few_shot_target_adaptation_5pct,other_datasets+5pct_X-IIoTID,X-IIoTID,492000,228000,7.544174397999996,0.7679735770007028,180
few_shot_target_adaptation_5pct,other_datasets+5pct_CIC-IIoT-2025,CIC-IIoT-2025,492000,228000,7.348267274000136,0.8102215320004689,180
few_shot_target_adaptation_5pct,other_datasets+5pct_CIC-IDS2017,CIC-IDS2017,492000,228000,6.812149385999874,0.8735850490002122,180
leave_one_dataset_out,CIC-IIoT-2025+CIC-IDS2017,X-IIoTID,480000,240000,7.27225503200043,0.49162872099987,180
leave_one_dataset_out,X-IIoTID+CIC-IDS2017,CIC-IIoT-2025,480000,240000,7.291938847999518,0.7002752879998297,180
leave_one_dataset_out,X-IIoTID+CIC-IIoT-2025,CIC-IDS2017,480000,240000,6.383732463999877,0.6724643879997529,180
