protocol_semantics_mean,protocol_semantics_std,protocol_semantics_min,protocol_semantics_max,protocol_semantics_abs_mean,protocol_semantics_nonzero_ratio,flow_timing_mean,flow_timing_std,flow_timing_min,flow_timing_max,flow_timing_abs_mean,flow_timing_nonzero_ratio,packet_volume_mean,packet_volume_std,packet_volume_min,packet_volume_max,packet_volume_abs_mean,packet_volume_nonzero_ratio,byte_volume_mean,byte_volume_std,byte_volume_min,byte_volume_max,byte_volume_abs_mean,byte_volume_nonzero_ratio,rate_dynamics_mean,rate_dynamics_std,rate_dynamics_min,rate_dynamics_max,rate_dynamics_abs_mean,rate_dynamics_nonzero_ratio,port_addressing_mean,port_addressing_std,port_addressing_min,port_addressing_max,port_addressing_abs_mean,port_addressing_nonzero_ratio,statistical_flags_mean,statistical_flags_std,statistical_flags_min,statistical_flags_max,statistical_flags_abs_mean,statistical_flags_nonzero_ratio,unknown_numeric_mean,unknown_numeric_std,unknown_numeric_min,unknown_numeric_max,unknown_numeric_abs_mean,unknown_numeric_nonzero_ratio,target,dataset
1.0,0.0,1.0,1.0,1.0,1.0,11.730011,15.948753,0.0167145,52.949,11.730011,1.0,294.4,657.18054,0.0,1470.0,294.4,0.6,25390.877,62082.54,0.0,152116.27,25390.877,0.8333333,105.41629,182.58638,0.0,316.24887,105.41629,0.33333334,23877.5,25730.908,5683.0,42072.0,23877.5,1.0,66711.445,244328.27,0.0,915496.0,66711.445,0.71428573,0.14285715,0.3631365,0.0,1.0,0.14285715,0.14285715,1,X-IIoTID
1.0,0.0,1.0,1.0,1.0,1.0,13.072986,22.760956,1.0286715,80.345,13.072986,1.0,193382.1,432372.72,0.5263158,966834.0,193382.1,1.0,101423.34,192402.42,0.0,480525.0,101423.34,0.8333333,1.6522951,2.861859,0.0,4.9568853,1.6522951,0.33333334,30008.0,39779.0,1880.0,58136.0,30008.0,1.0,65769.64,244791.81,0.056,916269.2,65769.64,1.0,0.462406,0.49852905,0.0,1.0,0.462406,0.5,0,X-IIoTID
1.0,0.0,1.0,1.0,1.0,1.0,10.741813,25.952517,4.7e-05,88.515,10.741813,1.0,48.9,106.82954,0.5,240.0,48.9,1.0,851079.3,2084664.5,0.0,5106383.0,851079.3,0.8333333,14184.397,24568.096,0.0,42553.19,14184.397,0.33333334,4521.0,6318.706,53.0,8989.0,4521.0,1.0,65707.54,244917.97,0.02,916647.6,65707.54,1.0,0.10714286,0.28946716,0.0,1.0,0.10714286,0.14285715,0,X-IIoTID
1.0,0.0,1.0,1.0,1.0,1.0,12.288186,21.060234,0.004875,74.228,12.288186,1.0,468.47998,1036.155,0.4,2322.0,468.47998,1.0,79533.62,194379.02,0.0,476307.7,79533.62,0.8333333,683.7607,1184.3082,0.0,2051.282,683.7607,0.33333334,19059.0,26840.36,80.0,38038.0,19059.0,1.0,65240.293,242191.39,0.01,906698.4,65240.293,1.0,0.7571429,0.4237457,0.0,1.0,0.7571429,0.78571427,1,X-IIoTID
0.0,0.0,0.0,0.0,0.0,0.0,10.643299,25.816063,0.353,88.029,10.643299,1.0,2931.6948,6533.9644,0.47368422,14620.0,2931.6948,1.0,4410.429,7746.552,0.0,19653.576,4410.429,0.8333333,8.513861,14.74644,0.0,25.541582,8.513861,0.33333334,27716.0,39083.207,80.0,55352.0,27716.0,1.0,65587.914,244419.62,0.0,914796.4,65587.914,0.85714287,0.4661654,0.49881902,0.0,1.0,0.4661654,0.5,0,X-IIoTID
1.0,0.0,1.0,1.0,1.0,1.0,9.493431,28.57473,0.000332,95.633,9.493431,1.0,295.29376,656.6815,0.46875,1470.0,295.29376,1.0,25390.877,62082.54,0.0,152116.27,25390.877,0.8333333,105.41629,182.58638,0.0,316.24887,105.41629,0.33333334,9407.5,13229.261,53.0,18762.0,9407.5,1.0,65344.785,244019.83,0.017320508,913165.6,65344.785,1.0,0.109375,0.2928305,0.0,1.0,0.109375,0.14285715,0,X-IIoTID
0.0,0.0,0.0,0.0,0.0,0.0,10.580738,26.440369,2.1e-05,89.94,10.580738,1.0,20.9,44.2216,0.5,100.0,20.9,1.0,793651.0,1944039.5,0.0,4761905.0,793651.0,0.5,31746.031,54985.74,0.0,95238.09,31746.031,0.33333334,25167.5,34108.71,1049.0,49286.0,25167.5,1.0,65369.824,243604.95,0.019209374,911747.6,65369.824,1.0,0.17857143,0.37247318,0.0,1.0,0.17857143,0.21428572,1,X-IIoTID
0.0,0.0,0.0,0.0,0.0,0.0,12.093438,22.855503,0.151,79.014,12.093438,1.0,1992.4915,4415.9766,0.45714286,9892.0,1992.4915,1.0,991.05176,1649.9198,0.0,3981.0,991.05176,0.8333333,2.2542074,3.904402,0.0,6.7626224,2.2542074,0.33333334,19032.5,24253.055,1883.0,36182.0,19032.5,1.0,65605.12,244064.44,0.042142615,913576.0,65605.12,1.0,0.46734694,0.49899203,0.0,1.0,0.46734694,0.5,1,X-IIoTID
1.0,0.0,1.0,1.0,1.0,1.0,11.975369,24.526657,0.252,85.097,11.975369,1.0,892.4857,1979.7726,0.42857143,4434.0,892.4857,1.0,390.99097,455.49524,0.0,959.0,390.99097,0.8333333,0.5261796,0.91136974,0.0,1.5785388,0.5261796,0.33333334,20169.0,28410.137,80.0,40258.0,20169.0,1.0,65771.1,245044.92,0.025612498,917152.0,65771.1,1.0,0.46938777,0.4993829,0.0,1.0,0.46938777,0.5,0,X-IIoTID
0.0,0.0,0.0,0.0,0.0,0.0,10.888901,25.569916,0.000719,87.264,10.888901,1.0,20.9,44.2216,0.5,100.0,20.9,1.0,23180.51,56779.934,0.0,139082.06,23180.51,0.5,927.2137,1605.9812,0.0,2781.641,927.2137,0.33333334,22682.0,31964.055,80.0,45284.0,22682.0,1.0,65911.664,245536.42,0.028354894,918998.8,65911.664,1.0,0.17857143,0.37247318,0.0,1.0,0.17857143,0.21428572,1,X-IIoTID
1.0,0.0,1.0,1.0,1.0,1.0,10.618993,27.03137,6e-06,91.807,10.618993,1.0,43.2,94.36737,0.0,212.0,43.2,0.6,5888901.5,14424766.0,0.0,35333332.0,5888901.5,0.5,111111.12,192450.1,0.0,333333.34,111111.12,0.33333334,18452.0,26020.115,53.0,36851.0,18452.0,1.0,66158.6,246216.02,0.056929782,921606.0,66158.6,1.0,0.14285715,0.3631365,0.0,1.0,0.14285715,0.14285715,0,X-IIoTID
1.0,0.0,1.0,1.0,1.0,1.0,10.8011055,26.385721,0.125,90.071,10.8011055,1.0,8192.12,18284.264,0.6,40900.0,8192.12,1.0,4548.0127,7848.6934,0.0,19402.0,4548.0127,0.8333333,1.8212899,3.1545665,0.0,5.4638696,1.8212899,0.33333334,24910.0,35114.92,80.0,49740.0,24910.0,1.0,65608.31,244629.98,0.0,915548.0,65608.31,0.9285714,0.45714286,0.49878976,0.0,1.0,0.45714286,0.5,0,X-IIoTID
0.0,0.0,0.0,0.0,0.0,0.0,11.650391,25.1995,0.000517,86.236,11.650391,1.0,20.9,44.2216,0.5,100.0,20.9,1.0,32237.432,78964.766,0.0,193423.6,32237.432,0.5,1289.4906,2233.4634,0.0,3868.472,1289.4906,0.33333334,16671.5,22950.564,443.0,32900.0,16671.5,1.0,65403.715,243028.95,0.053563047,909774.4,65403.715,1.0,0.17857143,0.37247318,0.0,1.0,0.17857143,0.21428572,1,X-IIoTID
1.0,0.0,1.0,1.0,1.0,1.0,18.452095,26.493118,0.026,80.34367,18.452095,1.0,958.04004,2136.5415,0.2,4780.0,958.04004,1.0,396.74905,907.4987,0.0,2248.0,396.74905,0.8333333,0.020744218,0.03593004,0.0,0.062232655,0.020744218,0.33333334,21505.5,22376.395,5683.0,37328.0,21505.5,1.0,67123.305,245640.39,0.0,920439.6,67123.305,0.71428573,0.2,0.4,0.0,1.0,0.2,0.21428572,1,X-IIoTID
1.0,0.0,1.0,1.0,1.0,1.0,11.339877,23.064991,0.235092,80.065,11.339877,1.0,295.29376,656.6815,0.46875,1470.0,295.29376,1.0,25390.877,62082.54,0.0,152116.27,25390.877,0.8333333,107.41629,180.86537,1.0,316.24887,107.41629,1.0,25009.0,35254.93,80.0,49938.0,25009.0,1.0,65548.21,242030.23,0.14372195,906423.2,65548.21,1.0,0.3950893,0.4880801,0.0,1.0,0.3950893,0.42857143,1,X-IIoTID
1.0,0.0,1.0,1.0,1.0,1.0,14.518215,20.094439,0.006836,70.407,14.518215,1.0,468.47998,1036.155,0.4,2322.0,468.47998,1.0,56761.05,138597.92,0.0,339672.3,56761.05,0.8333333,487.6146,844.57324,0.0,1462.8438,487.6146,0.33333334,24266.0,34204.17,80.0,48452.0,24266.0,1.0,64960.027,240089.62,0.033600595,899093.2,64960.027,1.0,0.6857143,0.46219733,0.0,1.0,0.6857143,0.71428573,1,X-IIoTID
1.0,0.0,1.0,1.0,1.0,1.0,11.813962,13.888588,0.000237,42.264,11.813962,1.0,41.7,90.730095,0.5,204.0,41.7,1.0,143472.42,351397.47,0.0,860759.5,143472.42,0.8333333,2812.9395,4872.1543,0.0,8438.818,2812.9395,0.33333334,12644.5,17807.07,53.0,25236.0,12644.5,1.0,66014.914,245619.39,0.03201562,919388.8,66014.914,1.0,0.10714286,0.28946716,0.0,1.0,0.10714286,0.14285715,0,X-IIoTID
1.0,0.0,1.0,1.0,1.0,1.0,10.486122,26.003426,4.9e-05,88.417,10.486122,1.0,41.6,90.78986,0.0,204.0,41.6,0.6,693890.06,1699639.9,0.0,4163265.2,693890.06,0.5,13605.442,23565.32,0.0,40816.33,13605.442,0.33333334,26112.5,36853.7,53.0,52172.0,26112.5,1.0,65267.25,242948.44,0.12,909362.8,65267.25,1.0,0.5,0.5188745,0.0,1.0,0.5,0.5,0,X-IIoTID
1.0,0.0,1.0,1.0,1.0,1.0,9.243848,29.039036,0.000138,96.791,9.243848,1.0,41.7,90.730095,0.5,204.0,41.7,1.0,246389.31,603491.4,0.0,1478260.9,246389.31,0.8333333,4830.918,8367.3955,0.0,14492.754,4830.918,0.33333334,17858.0,25180.072,53.0,35663.0,17858.0,1.0,66079.82,245413.1,0.015,918728.4,66079.82,1.0,0.10714286,0.28946716,0.0,1.0,0.10714286,0.14285715,0,X-IIoTID
1.0,0.0,1.0,1.0,1.0,1.0,12.777009,25.493296,0.38,87.539,12.777009,1.0,1000.89374,2202.0557,0.46875,4940.0,1000.89374,1.0,312.93314,650.71356,0.0,1626.0,312.93314,0.8333333,0.5324673,0.92226034,0.0,1.5974019,0.5324673,0.33333334,29183.0,38608.03,1883.0,56483.0,29183.0,1.0,65713.05,244875.56,0.059699245,916505.6,65713.05,1.0,0.46651787,0.49886656,0.0,1.0,0.46651787,0.5,1,X-IIoTID
1.0,0.0,1.0,1.0,1.0,1.0,10.767797,22.069466,0.217804,76.396,10.767797,1.0,295.29376,656.6815,0.46875,1470.0,295.29376,1.0,25390.877,62082.54,0.0,152116.27,25390.877,0.8333333,107.41629,180.86537,1.0,316.24887,107.41629,1.0,22266.0,31375.742,80.0,44452.0,22266.0,1.0,66119.39,245972.84,0.036660604,920721.2,66119.39,1.0,0.3950893,0.4880801,0.0,1.0,0.3950893,0.42857143,1,X-IIoTID
0.0,0.0,0.0,0.0,0.0,0.0,10.27528,27.774336,0.000585,93.733,10.27528,1.0,20.9,44.2216,0.5,100.0,20.9,1.0,28490.195,69785.945,0.0,170940.17,28490.195,0.5,1139.6012,1973.847,0.0,3418.8035,1139.6012,0.33333334,23837.5,33084.82,443.0,47232.0,23837.5,1.0,65692.164,245085.83,0.021,917216.4,65692.164,1.0,0.17857143,0.37247318,0.0,1.0,0.17857143,0.21428572,1,X-IIoTID
1.0,0.0,1.0,1.0,1.0,1.0,10.74616,22.908659,0.2120118,79.157,10.74616,1.0,295.29376,656.6815,0.46875,1470.0,295.29376,1.0,25390.877,62082.54,0.0,152116.27,25390.877,0.8333333,105.41629,182.58638,0.0,316.24887,105.41629,0.33333334,24736.0,34868.848,80.0,49392.0,24736.0,1.0,66207.15,246006.64,0.065543875,920924.4,66207.15,1.0,0.3950893,0.4880801,0.0,1.0,0.3950893,0.42857143,1,X-IIoTID
1.0,0.0,1.0,1.0,1.0,1.0,10.520351,27.150326,4e-06,92.048,10.520351,1.0,295.29376,656.6815,0.46875,1470.0,295.29376,1.0,25390.877,62082.54,0.0,152116.27,25390.877,0.8333333,105.41629,182.58638,0.0,316.24887,105.41629,0.33333334,17492.0,24662.47,53.0,34931.0,17492.0,1.0,65718.29,244907.84,0.045,916623.2,65718.29,1.0,0.109375,0.2928305,0.0,1.0,0.109375,0.14285715,0,X-IIoTID
